Platz;Mannschaft;Spiele;g;u;v;Tore;Diff;Punkte
1;SV Concordia Albachten;34;26;5;3;77:30;47;83
2;SC Greven 09;34;23;3;8;95:54;41;72
3;SV Burgsteinfurt;34;21;7;6;98:52;46;70
4;Ibbenbürener SpVg. 08;34;19;4;11;80:61;19;61
5;Borghorster FC;34;18;5;11;75:58;17;59
6;SC Münster 08;34;16;6;12;75:52;23;54
7;TuS Graf Kobbo Tecklenburg;34;16;5;13;76:57;19;53
8;TuS Recke;34;15;5;14;79:63;16;50
9;SuS Neuenkirchen II;34;13;8;13;70:68;2;47
10;SV Mesum II;34;13;7;14;76:65;11;46
11;SpVg Emsdetten 05;34;13;7;14;52:50;2;46
12;SV Blau-Weiß Aasee;34;14;4;16;64:76;-12;46
13;DJK Grün-Weiß Gelmer;34;14;3;17;56:58;-2;45
14;SV Germania Hauenhorst;34;12;7;15;37:44;-7;43
15;DJK Arminia Ibbenbüren;34;8;4;22;46:74;-28;28
16;S.V. Bösensell 1965;34;7;7;20;46:87;-41;28
17;SV Cheruskia Laggenbeck 1920;34;7;4;23;53:94;-41;25
18;SC Hörstel;34;4;3;27;29:141;-112;15
